Config_Strategy,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
EXPPO, 65126.48343786634, 0, 65126.48343786634
SW1, 41221.57927906762, 399, 47206.57927906762
SW2, 42508.68648937608, 199, 45493.68648937608
SW3, 43606.13326437778, 133, 45601.13326437778
SW4, 44366.02578712543, 99, 45851.02578712543
SW5, 45375.0902513685, 79, 46560.0902513685
SW6, 47146.89345392543, 66, 48136.89345392543
SW7, 47173.10259364447, 57, 48028.10259364447
SW8, 47223.891749660346, 49, 47958.891749660346
SW9, 49673.6481354634, 44, 50333.6481354634
Dynamic MPC, 42697.6013299094, 132, 44677.6013299094
