Exploration fraction , Duration without checkpointing, Number of checkpoints, Total duration with checkpoints
0.01, 42638.41562133234, 145, 44813.41562133234
0.05, 43507.30848942281, 113, 45202.30848942281
0.1, 42451.89600504681, 155, 44776.89600504681
