gamma, duration without checkpointing, number of checkpoints, duration with checkpoints
0.95, 107517.81270550385, 7, 107622.81270550385
0.96, 43458.528620929785, 399, 49443.528620929785
0.97, 281701.11556848657, 0, 281701.11556848657
0.98, 98830.52509532285, 239, 102415.52509532285
0.99, 42451.89600504681, 154,  44776.89600504681
