exploration_fraction, duration without checkpointing, checkpointing, duration with checkpointing
0.1,  42451.89600504681, 155,  44776.89600504681
0.2, 41962.60757772578, 362, 47392.60757772578
0.3, 42538.0863517438, 396, 48478.0863517438
0.4, 42429.98920559141, 399, 48414.98920559141
