Window size,checkpoint penalty,simulation length,Workload,Total Duration
5,24,792,6,72121.12181
9,31,794,15,119488.9151
9,29,794,14,119312.9152
3,88,800,16,121026.6841
6,14,804,5,54478.31155
3,27,807,16,105793.026
7,46,808,12,117988.0629
1,79,809,13,159068.36
2,60,812,8,121486.3519
1,76,821,5,122529
5,69,822,14,118436.4843
7,22,828,14,118372.468
8,47,829,5,68602.67328
8,40,842,14,126865.665
8,89,843,7,109723.6174
4,42,847,9,118074.986
1,2,851,9,102556.4291
5,14,851,9,113589.3216
10,78,852,14,132904.307
4,3,853,3,47620.184
3,57,856,15,121565.02
4,45,857,14,120120.9191
10,89,858,13,134658.32
4,70,864,12,126498.166
9,40,864,11,131243.7994
10,83,865,5,69239.36
4,2,869,13,112517.4138
6,73,869,15,124981.4563
3,96,876,6,104036.7834
10,17,878,3,53224.50986
6,68,881,3,49081.7986
3,91,885,11,135705.691
5,43,886,11,123241.1738
1,76,890,11,173037.4427
9,17,909,3,63886.815
10,19,910,7,105515.271
9,14,910,8,135315.7255
7,71,912,12,136438.043
1,23,913,15,129452.3915
6,66,923,9,131720.727
1,50,927,6,127366.5873
7,91,927,14,141347.3
8,42,927,3,52270.19273
10,93,930,5,79702.3035
5,79,947,8,139586.452
4,66,948,6,95364.60303
1,76,950,14,186044.3715
6,41,950,4,63813.657
8,91,951,8,150570.124
2,69,952,14,148721.5534
9,73,957,7,121203.4807
7,90,958,4,74924.9
10,38,958,9,146967.0389
3,77,959,2,70916.44667
7,15,959,12,136862.9935
6,36,962,2,54677.867
3,70,965,7,124318.0728
10,64,971,7,131312.3987
3,20,974,16,128629.33
7,3,974,1,27597.8439
9,18,979,12,148575.0973
8,91,984,9,156089.99
8,2,990,3,52207.40529
9,89,994,11,158640.843
2,46,996,9,144942.4439
10,37,998,2,51133.85
