Window size,Simulation length,Workload,Checkpoint penalty,Total Duration
4,285,7,30,32333.54421
1,81,13,39,11955.89232
9,174,7,13,18329.36885
6,461,14,95,67622.22602
5,395,2,32,17056.16288
8,246,15,32,32697.29201
9,243,8,35,32233.52408
2,152,7,11,16059.83692
9,223,8,27,29164.11341
4,300,9,43,40645.22317
4,311,7,85,40160.52954
9,339,13,97,50095.20576
9,204,12,22,25784.28972
10,349,12,73,50343.07996
8,329,13,88,47464.94762
5,246,16,41,33270.84624
7,427,6,66,40279.94098
5,357,2,94,24528.74601
3,169,8,14,20879.39461
10,702,1,90,37680.20266
9,369,2,40,19535.50386
3,203,5,60,17898.07058
4,272,4,69,20226.21062
7,281,11,80,42826.38454
3,188,4,6,9606.699008
10,327,5,45,25319.77486
7,445,2,79,28466.09298
10,303,16,95,46050.09649
6,327,15,83,47733.68975
7,423,4,76,32182.10664
10,569,3,96,40052.00848
4,241,8,65,33888.48908
2,119,2,27,7475.022362
5,146,4,7,8115.40226
6,115,13,13,14052.31538
9,225,12,61,31380.53973
6,287,7,68,35594.74739
6,317,2,77,20514.70589
4,213,5,91,19050.91088
8,398,4,92,29935.1311
3,153,12,70,21680.53104
5,245,12,81,36247.49287
7,270,15,99,41621.11305
2,60,16,5,6553.999836
10,253,6,71,24986.24428
4,185,1,12,8293.20318
6,88,5,6,5920.00422
7,184,2,23,9523.928893
5,201,12,84,28931.94115
9,165,16,79,23354.68811
10,324,2,67,19966.63063
10,387,2,77,22006.88035
3,113,13,62,15593.46024
2,74,14,78,10996.44216
6,58,16,9,6443.996454
10,189,5,91,16915.18523
10,343,2,93,20952.20255
9,114,14,41,14754.90406
5,163,12,97,23843.36209
5,158,4,45,10585.69845
7,121,16,71,17114.50803
7,174,10,100,26608.29867
3,90,10,95,13045.49314
10,234,2,75,10971.31724
4,101,11,80,14338.66984
4,98,11,93,14224.4351
8,174,3,100,9609.826927
10,64,7,30,7217.798321
8,96,8,98,13411.93195
3,57,10,63,7358.856164
7,131,1,67,7195.311471
10,90,11,96,13827.16512
4,70,14,74,9706.67628
9,66,8,51,8251.09689
