Window size,simulation length,Workload,checkpoint penalty,Total Duraion
5,157,5,12,10345.91579
7,137,8,41,17872.58966
5,266,5,59,20636.24409
10,119,14,31,15129.672
9,234,16,89,32704.54811
7,345,7,92,43405.31113
5,58,13,6,6362.555979
6,101,12,18,12229.1332
6,104,7,14,10424.40776
2,94,4,47,7228.730293
9,155,10,58,20774.85543
5,190,14,66,25606.31295
2,71,6,11,5302.504512
3,86,9,19,10235.86826
5,94,10,30,11628.92317
2,58,8,52,7836.791503
7,66,11,13,7595.955882
9,129,16,62,17456.47376
10,111,8,47,14537.34692
6,150,16,68,20239.0625
9,141,11,88,19763.21965
10,270,3,13,14964.87121
7,58,16,25,6768.437507
5,92,16,45,11620.64332
6,101,10,63,13154.29087
5,878,3,34,44279.52724
10,109,5,58,8147.731062
7,565,3,76,32116.22311
7,110,13,87,15019.87091
10,744,3,33,36115.14445
8,476,3,79,25679.23007
9,85,15,90,11468.48842
2,991,2,28,40659.02963
9,202,5,83,14685.85283
8,339,4,64,20600.54599
7,62,8,64,7738.554685
7,676,6,1,88284.47824
7,440,11,2,77794.90476
9,584,10,1,129230.1737
5,148,2,30,6622.334218
2,803,2,33,29482.71717
8,111,3,90,5741.958378
5,310,2,94,14113.26589
2,270,2,7,12696.56597
6,319,2,18,14082.00223
4,178,2,21,7750.759529
9,90,2,28,3708.166099
7,276,3,76,14372.81674
9,68,5,78,5051.266963
2,298,2,89,9900.930245
3,905,2,19,50155.59477
9,167,2,65,8175.378039
6,507,2,15,24456.28192
5,420,2,17,19958.77336
3,120,2,19,4452.334628
9,748,2,20,35121.52212
7,425,2,24,20274.95367
9,403,2,74,16756.10481
8,295,1,17,8624.215865
10,451,1,34,14935.71836
5,379,1,35,11711.63766
3,727,1,37,21072.37471
7,228,2,39,11320.27779
7,893,1,46,39983.17373
5,535,1,51,15374.02061
2,108,1,61,4043.425647
6,994,1,61,44544.73756
8,703,1,61,24040.84502
4,344,1,65,10234.45707
10,161,1,77,7336.811447
3,997,1,84,45671.16325
6,496,1,94,16121.47317
6,615,1,17,27340.97008
