Strategy,Task3,Task 4,Task 5,Task 6,Task 7,Task 8
Static Window(3),133,133,133,133,133,133
Dynamic Winodw (2),199,199,199,202,204,202
Dynamic MPC(3),20,104,118,139,156,180
Reinforcement Learning(3*10),399,399,399,359,180,135
